"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","6012.03062940503","7222.69489135401","8812.50360934308","10218.9620305927","10896.2755697685","11848.6811671204","12414.409677618","13041.8645275877","14262.9963666872","14572.2832658615","14590.028869123","15480.9117246114","16674.1609143795","16789.7339890529","18299.4364967131","17979.8881895396","17619.8718578546","19081.501084042","20422.2242920884","16794.3868236085","21180.0594754113","20093.6724534741","24097.9467110425","21733.0746173795","20212.2439423195","20565.9352608544","21395.3346349053","21530.6779301546","22415.9932500023","23278.8227270299","23167.7123061073","23716.2378742097","24187.0664613255","26027.0171242373","20584.7912597757","24724.8665721459","","","","",
"Africa Eastern and Southern","AFE","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","558.715020189731","506.797522328134","535.25660439374","482.196808598474","381.313336208986","408.924157489488","492.501737852496","519.596870187029","529.273237998508","570.645599281435","595.932985401626","576.080259677687","558.187514167852","550.925184539003","608.611982071987","599.423243883909","616.256014747348","565.066075470549","547.993087448084","571.548507884481","494.650657197329","489.417347982482","645.671936138345","786.349188811441","878.766041988652","937.455585007485","1000.66128063249","979.32184430628","1068.49685024245","1220.23399789129","1323.05304800209","1326.05782057498","1310.1552721566","1326.71285324634","1222.00757893164","1154.55476086437","1298.11640926511","1241.67459710128","1212.68901253397","1098.09261098553","1214.87328241925","","","","",
"Afghanistan","AFG","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","147.709169161352","150.772962595376","128.296488882664","135.151412518198","163.370030318147","173.577068067591","183.125316371593","207.427049893525","227.638310595613","253.880571749312","257.82263205199","272.978992094199","","","","","","","","","","","","","","","","","","","","","","","","","","","","403.411183496525","505.230192626939","566.66810049764","605.752003662601","597.356158043866","575.916815423607","548.968454484921","484.890589729187","497.406028699116","466.570601616442","468.403505762558","475.718084233299","340.523243575066","","","","",
"Africa Western and Central","AFW","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","195.831756313554","138.579989812954","162.296827888586","193.783381476981","241.071581397497","290.188232892353","348.361405543823","346.829621529123","379.711152654349","389.932726011054","512.294771160643","1100.94926502326","967.515142009637","681.424205389902","539.170132150038","526.819093499245","487.17890259329","472.463750146487","465.720778099434","388.325393563044","439.709068186771","433.823165409412","419.612031059864","331.658983252041","284.151984700549","348.836859689892","376.618351776368","374.058753947491","387.574400404258","405.796237319428","358.355656441257","389.309172683286","466.755195365656","518.033501460882","614.580860912903","714.156914336222","951.89695260999","1072.39305413939","1255.7105669762","1138.73992492208","1250.20327259336","1344.99506657198","1451.21938772724","1642.52711906952","1797.19322673774","1553.65415750155","1366.27021097477","1286.95689938616","1382.67500505744","1412.16767322941","1374.44485977008","1393.44231755267","","","","",
"Angola","AGO","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","555.911493753967","570.539647163951","494.149930590605","467.002725439816","676.786237902672","572.331758322742","696.552720278739","76.4838071122152","90.243763925886","15.7325786541109","183.859483431441","211.60316859914","269.44886967616","256.446055560045","166.396580526252","201.408987854966","254.31592168361","553.306685097135","659.926923076585","779.472756094735","1019.35264174305","1377.04750503861","1478.4063251158","1516.98612035442","1870.28744759066","1874.74828012534","2463.65471862411","2865.33333780367","3185.33364049508","3486.75310038908","2371.99561912402","1206.04353662907","1500.33574073929","1506.72537062869","1327.80344902045","1100.21749579316","1231.92513309873","","","","",
"Albania","ALB","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","511.604863994448","511.137515594665","571.545431362371","550.389888480564","520.80485644553","560.432668363939","491.207828065785","250.883167599471","136.05456779476","316.128432130117","508.952316437995","669.043649546814","914.573037886509","643.215894620855","749.072786404266","949.097159329714","1038.95668573873","1186.74338268123","1308.21655164817","1699.39248932487","2171.04442045365","2437.80154959898","2742.93361073877","3229.97720153639","3830.34092728254","3517.60915298582","3509.84273933796","3753.96548548714","3571.24661350673","3862.00100943984","4004.12740695725","3457.09318853429","3707.95938301173","4047.11097478598","4771.4656706009","4848.49843266129","4851.4298209181","5943.36134111783","","","","",
"Andorra","AND","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","1406.24744437969","1531.78003338266","1538.22481134481","1427.5540920067","1387.06887884169","1338.18910666698","1311.87873050139","1322.27904091183","1302.07861084559","1303.71327529038","1711.76771229436","1647.26651529978","1773.45695239102","1731.24335409086","1712.37830862874","1850.81357623445","1953.15900278961","2080.18418496834","2017.24494861519","2151.65750772422","2318.13707051144","2256.19291805848","2236.35782951755","2368.11542061015","2715.23228101777","3163.27430321796","3699.55575239999","4258.67318884501","5128.37992800854","4575.86469188951","5202.45108683885","5351.76302645877","5788.83978617351","5816.73112332613","5871.90656839461","5219.88246019688","5132.95012507738","5138.89411886284","5327.29573919465","5301.29420934382","4727.76208631425","","","","","",
"United Arab Emirates","ARE","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27273.9591576502","25741.3083522085","24733.5163360987","26025.9666784017","29367.5892166255","32829.5568203638","37719.5310987804","39986.8541720853","42200.7742013122","32273.1223960587","37615.0752928902","43434.61702074","45968.1522391585","46197.4104149389","46014.762417163","39877.4180425213","38136.5200928587","38984.6967149319","41349.3459632053","40195.6918623453","33903.4342222379","","","","","",
"Argentina","ARG","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","1198.50298256961","1305.18069009907","1299.39775066718","1971.96644324083","2648.51669614368","1893.95270371403","1785.7857940804","1944.39799182956","1945.74187719791","2223.86594162059","2404.41303172113","2391.51787255383","2470.89455567895","3019.56471388369","2260.95768234999","2484.67287973919","3168.21181514082","3099.95638328893","3479.59494480442","1921.6102834084","3682.8700868946","5022.47844832387","6055.31341554925","6175.97567066052","6561.21005348244","6373.77448402385","6673.0112057081","7048.46252075139","7085.44992608178","6523.52890675623","6406.18525429777","5979.26376052811","1987.6868785557","2692.26640866572","3194.70823444257","3797.81840518292","4876.98577547155","6089.63514482018","7545.53378699695","6808.99587703843","8565.3662972312","10604.5815493984","10774.0929660292","10811.8698739139","10181.068967686","11668.4363712122","10789.0752361646","12508.8260126261","9844.1016409587","8237.6981192802","7241.03030233067","9092.08560830429","","","","",
